data_name,n_samples,scenario,cf_label,trial,fold1,fold2,fold3,fold4,fold5,avg_ate,tp_model_name,tp_loss_name,tp_n_epochs,tp_batch_size,tp_patience,tp_scheduler_patience,tp_scheduler_factor,tp_n_splits,tp_network_depth,tp_network_width,tp_use_u_statistic,tp_kernel_gamma,tp_learning_rate,tp_l2_penalty
sgd,5000,1,sgd_cf,11,1.9985,1.6953,2.2068,1.2119,3.256,2.073694,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,12,1.7347,1.6043,1.3463,2.7482,2.2217,1.931033,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,13,2.2438,3.0042,1.8276,1.4639,1.6003,2.027967,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,14,2.6281,2.3663,1.6357,2.0728,2.4162,2.223808,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,15,1.4421,2.4697,2.19,1.8954,2.9713,2.193684,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,16,2.6534,1.7336,2.4279,2.0879,3.1137,2.403275,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,17,1.9979,1.6643,2.4554,1.7378,2.2735,2.025752,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,18,2.2208,3.0119,2.3933,2.7549,1.5834,2.392874,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,19,2.252,2.1087,2.2163,2.38,2.0192,2.19525,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
sgd,5000,1,sgd_cf,20,2.2377,2.4452,2.0104,2.0735,2.1676,2.186852,nmmr_q,V_statistic,150,500,25,5,0.5,5,4,55,False,0.6,0.008923848921281572,2.137138722022136e-06
